Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Ketryx,Seed,Seed,"$2,049,999","Nov 12, 2021",Ketryx,"Ketryx is an information technology company that features software development tools built for developers, by developers.","Information Technology, Internet, Software",—,"Somerville, Massachusetts, United States, North America",www.ketryx.com/,,"$4,049,994",—,2,—,—
Seed Round - Plus,Seed,Seed,"$2,450,000","Oct 22, 2021",Plus,"Plus is a software company that captures, views, and shares current data from any source.","Enterprise Software, Productivity Tools, Software",—,"Seattle, Washington, United States, North America",www.plusdocs.com/,,"$7,950,000",Seed,2,BoxGroup,4
Seed Round - eyko,Seed,Seed,"$2,500,000","Oct 25, 2021",eyko,eyko is a Cloud blending and streaming platform.,Computer Vision,—,"Santa Barbara, California, United States, North America",www.eyko.io,,"$2,500,000",Seed,1,"InReach Ventures, Taggia",2
Seed Round - BeMe Health,Seed,Seed,"$7,000,000","Nov 4, 2021",BeMe Health,Be Me Health is a mobile platform that focuses on the mental health and emotional well-being of teens.,"Commercial, Health Care, Information Technology, Wellness",Women Led,"Marblehead, Massachusetts, United States, North America",beme.com/index.html,,"$13,200,000",—,3,—,2
"Pre Seed Round - Neurologix, Inc.",Pre-Seed,Seed,"$195,000","Oct 15, 2021","Neurologix, Inc.",Premium Supplements for Whole-Body Performance,"Consulting, Dietary Supplements, E-Commerce, Health Care, Health Diagnostics, Nutraceutical, Personal Health, Personalization, Retail, Wellness","Women Founded, Women Led","Portland, Oregon, United States, North America",neurologix.health/,,"$195,000",Seed,2,—,—
Seed Round - Elotl,Seed,Seed,"$5,000,000","Nov 2, 2021",Elotl,Elotl develops serverless infrastructure platform for microservices.,"Information Technology, Software, Software Engineering","Women Founded, Women Led","San Francisco, California, United States, North America",www.elotl.co/,,"$8,800,000",Seed,3,Vertex Ventures US,7
"Pre Seed Round - Team Real Talk, Inc.",Pre-Seed,Seed,"$50,000","Oct 25, 2021","Team Real Talk, Inc.","Real Talk is a social learning platform promoting diversity, equity and inclusion by empowering educators through guided social discussion.",E-Learning,—,"Buffalo, New York, United States, North America",www.teamrealtalk.com/,,"$50,000",Seed,1,University at Buffalo,1
Seed Round - Videra Health,Seed,Seed,"$3,000,000","Nov 11, 2021",Videra Health,Videra Health is a firm that offers health care services,"Health Care, Hospital, Hospitality, Medical",—,"Orem, Utah, United States, North America",www.viderahealth.com/,,"$3,000,000",Seed,1,Peterson Ventures,4
Seed Round - Givinga,Seed,Seed,"$3,777,625","Oct 27, 2021",Givinga,"Givinga powers experiences that transform workplace culture, build brand affinity, and cultivate everyday philanthropy.","Charity, Financial Services, FinTech, Non Profit, Software",—,"Boston, Massachusetts, United States, North America",www.givinga.com,,"$9,045,124",—,3,—,—
Seed Round - Cargo Chief,Seed,Seed,"$1,500,000","Nov 1, 2021",Cargo Chief,Cargo Chief with unparalleled trucking DB and digital freight matching enables 3PLs to buy truckload capacity more effectively & efficiently,"Delivery Service, Information Technology, Logistics",—,"San Francisco, California, United States, North America",cargochief.com/,,"$5,100,000",Seed,5,—,—
Pre Seed Round - THEMAGIC5,Pre-Seed,Seed,"$1,000,000","Nov 9, 2021",THEMAGIC5,THEMAGIC5 designs custom-fit swimming goggles based on the contours of a user's face.,Swimming,—,"Charlotte, North Carolina, United States, North America",themagic5.com/,,"$1,000,000",Seed,1,Robert Herjavec,1
Seed Round - Supernatural,Seed,Seed,"$1,500,000","Nov 12, 2021",Supernatural,Supernatural is a maker of plant-based baking ingredients.,"Food and Beverage, Food Delivery, Food Processing","Women Founded, Women Led","New York, New York, United States, North America",www.supernaturalkitchen.com/,,"$1,500,000",Seed,2,—,—
Pre Seed Round - Wooy,Pre-Seed,Seed,"$100,000","Oct 25, 2021",Wooy,Wooy is a platform that revolutionizes charitable fundraising by leveraging blockchain technology to drive social and environmental impact.,"Advertising, Blockchain, GreenTech, Information Technology, Non Profit, Social Media, Sustainability",Hispanic / Latine Founded,"Miami, Florida, United States, North America",Wooy.co,,"$100,000",Seed,1,—,—
Seed Round - BetsyBnB,Seed,Seed,"$2,000,000","Oct 18, 2021",BetsyBnB,BetsyBnB provides a platform domestic violence agencies to select from a list of loving caregiver to foster pets.,"Apps, Charity, Pet",—,"Kansas City, Missouri, United States, North America",bestybnb.com/,,"$2,000,000",Seed,1,—,1
Seed Round - Jambb,Seed,Seed,"$3,500,000","Oct 13, 2021",Jambb,The best source of comedy collectibles in the world.,Media and Entertainment,—,"Boston, Massachusetts, United States, North America",www.jambb.com/,,"$3,500,000",Seed,1,"Animoca Brands, Arrington XRP Capital",10
Seed Round - Neatsy.ai,Seed,Seed,"$900,000","Nov 8, 2021",Neatsy.ai,"Neatsy is world's 1st app that checks foot, ankle & spine health with AI & iPhone camera and enables telehealth for orthopedic surgeons","Artificial Intelligence, Fitness, Health Care, Health Diagnostics, Medical, Sporting Goods, Wellness",—,"Menlo Park, California, United States, North America",neatsy.ai,,"$1,300,000",Seed,3,—,3
Seed Round - BioSapien,Seed,Seed,"$1,800,000","Nov 11, 2021",BioSapien,BioSapien is a biotech startup focusing on developing a 3D printed drug delivery platform to provide FDA approved drugs.,"3D Printing, 3D Technology, Biopharma, Biotechnology, Pharmaceutical","Women Founded, Women Led","New York, New York, United States, North America",www.biosapien.com,,"$37,056,000",Early Stage Venture,6,SOSV,11
Seed Round - Gooder Foods,Seed,Seed,"$3,789,993","Nov 12, 2021",Gooder Foods,Gooder Foods re-imagines Mac & cheese that's stealthily healthy and unbelievably delicious.,"Food and Beverage, Food Processing, Snack Food","Women Founded, Women Led","Santa Cruz, California, United States, North America",goodles.com,,"$23,189,993",Early Stage Venture,4,—,3
Seed Round - Employee Cycle,Seed,Seed,"$2,500,000","Nov 11, 2021",Employee Cycle,"Employee Cycle is an automated, centralized and real time HR metrics dashboard.","Human Resources, Software",—,"Philadelphia, Pennsylvania, United States, North America",employeecycle.com/,,"$5,000,000",Seed,4,Techstars,1
Pre Seed Round - Quiker Co,Pre-Seed,Seed,"$340,000","Oct 31, 2021",Quiker Co,Quiker is a mobile mechanic service that provides professional oil changes and mechanical repairs.,"Automotive, Technical Support",—,"Pontiac, Michigan, United States, North America",www.quikerco.com,,"$1,190,000",Seed,3,—,—
Seed Round - Ladder,Seed,Seed,"$3,500,000","Oct 28, 2021",Ladder,Ladder is a next-gen professional community platform. Ladder is now Nova.,"Advice, Communities, Consumer Software, Internet, Professional Networking, Social Network",—,"San Francisco, California, United States, North America",ladder.to/,,"$3,500,000",Seed,2,—,12
Seed Round - Brite Benefits,Seed,Seed,"$1,500,000","Oct 26, 2021",Brite Benefits,Brite Benefits is the education platform for employee benefits.,"Education, Employee Benefits, Human Resources, Software",—,"Salt Lake City, Utah, United States, North America",britebenefits.com/,,"$3,250,000",—,3,Elevation Capital,1
Seed Round - June Care,Seed,Seed,"$3,600,000","Nov 1, 2021",June Care,The June Care Company connects parents who need a little extra childcare with trusted stay-at-home parents who can care for their kids.,"Child Care, Children, Women's",—,"Los Altos, California, United States, North America",www.junecare.co/,,"$3,600,000",Seed,1,Craft Ventures,8
Seed Round - Staircase AI,Seed,Seed,"$4,000,000","Oct 27, 2021",Staircase AI,Uncover your blind spots from customer interactions,"Artificial Intelligence, Customer Service, Machine Learning, Software",—,"Topanga, California, United States, North America",www.staircase.ai/,,"$4,000,000",Seed,1,"Disruptive AI Venture Capital, StageOne Ventures",2
