Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Raiinmaker,Seed,Seed,"$5,000,000","Oct 15, 2021",Raiinmaker,Raiinmaker is a social engagement platform that helps communities and projects work together.,"Communities, Information Technology, Marketing Automation, Mobile Apps, Social Media",—,"Santa Monica, California, United States, North America",raiinmaker.com,,"$5,000,000",Seed,1,—,14
Seed Round - OpenEvidence,Seed,Seed,"$5,000,000","Nov 1, 2021",OpenEvidence,OpenEvidence is a common problem in many high-value domains. It's a huge challenge in medicine.,"Clinical Trials, Medical",—,"Cambridge, Massachusetts, United States, North America",www.openevidence.com,,"$32,000,000",Early Stage Venture,2,Daniel Nadler,1
Seed Round - Billo,Seed,Seed,"€2,000,000","Oct 13, 2021",Billo,"Billo is an all-in-one platform that facilitates the creation of bespoke eCom videos, video advertisements, product videos, and commercials.","Advertising, E-Commerce, Marketing",—,"San Francisco, California, United States, North America",billo.app,,"€2,935,000",Seed,2,"Open Circle Capital, Practica Capital",7
Seed Round - Satoshi Energy,Seed,Seed,"$2,387,966","Oct 25, 2021",Satoshi Energy,Satoshi Energy is a provider of data driven insights and power contracts for bitcoin miners.,"Bitcoin, FinTech",—,"Houston, Texas, United States, North America",satoshienergy.com,,"$2,387,966",Seed,1,StillMark,9
Seed Round - Nova,Seed,Seed,"$3,700,000","Oct 28, 2021",Nova,Nova is the professional community platform for the next generation.,—,—,"San Francisco, California, United States, North America",joinnova.co,,"$3,700,000",Seed,1,—,11
Grant - Bare Reverie,Grant,—,"$10,000","Nov 1, 2021",Bare Reverie,Bare Reverie is a clothing brand.,"Beauty, Fashion",—,"Miramar Beach, Florida, United States, North America",barereverie.com,,"$10,000",—,1,Comcast RISE,1
Seed Round - Possibility Space,Seed,Seed,"$3,000,000","Oct 13, 2021",Possibility Space,Possibility Space is a game and media industry.,"Console Games, MMO Games, Online Games, PC Games, Video Games",—,"New Orleans, Louisiana, United States, North America",www.possibility.co/,,"$3,000,000",Seed,1,Transcend Fund,1
Seed Round - Jet Protocol Holdings,Seed,Seed,"$6,800,000","Nov 8, 2021",Jet Protocol Holdings,Jet Protocol Holdings is an operator of a lending platform.,"Blockchain, Financial Services, FinTech, Lending",—,"Greenwich, Connecticut, United States, North America",jetprotocol.io,,"$11,600,000",Seed,2,—,9
Seed Round - Aqua,Seed,Seed,"$3,800,000","Nov 2, 2021",Aqua,Aqua is an investment platform that allows financial advisors to put their clients into alternative assets with no operational lift.,"Asset Management, Finance, Financial Services",—,"New City, New York, United States, North America",www.investwithaqua.com,,"$3,925,000",Seed,2,Gradient Ventures,5
Pre Seed Round - Kappa Pay,Pre-Seed,Seed,"$2,100,000","Oct 14, 2021",Kappa Pay,"Kappa offers a fast, affordable, and reliable way for African businesses to send cross-border payments with higher transaction limits.","Financial Services, FinTech",—,"Boston, Massachusetts, United States, North America",www.kappapay.com/,,"$3,600,000",Seed,2,Morningside Group,2
Pre Seed Round - Every,Pre-Seed,Seed,"$2,155,555","Nov 11, 2021",Every,What Investing Becomes,"Auctions, Automotive, Fashion, Jewelry, Non Profit, Online Auctions, Retail Technology, Shoes, Trade Shows, Wine And Spirits",—,"Austin, Texas, United States, North America",investevery.co,,"$3,155,555",Seed,2,—,4
Pre Seed Round - Fret Zealot,Pre-Seed,Seed,"$500,000","Oct 29, 2021",Fret Zealot,Fret Zealot  is a LED accessory for a guitar that shows where to put the fingers to play anything.,"Consumer Electronics, Music Education, Musical Instruments",—,"Arlington, Virginia, United States, North America",fretzealot.com/,,"$850,000",Seed,2,43North,1
Seed Round - ShearShare,Seed,Seed,"$500,000","Nov 4, 2021",ShearShare,First mobile marketplace that provides space-as-a-service for the beauty and barbering industry (verticalized SaaS),"B2B, Beauty, Marketplace, Mobile, Mobile Apps, Sharing Economy","Black / African American Founded, Black / African American Led, Women Founded","Mckinney, Texas, United States, North America",shearshare.com/,,"$6,060,000",Seed,7,43North,1
Seed Round - Top Seedz,Seed,Seed,"$1,000,000","Oct 29, 2021",Top Seedz,"Top Seedz is an e-commerce store that offers organic, gluten-free, and vegan products.","E-Commerce, Food and Beverage, Organic",—,"New York, New York, United States, North America",topseedz.com,,"$1,366,605",Seed,2,43North,1
Seed Round - Mesodyne,Seed,Seed,"$1,700,000","Nov 10, 2021",Mesodyne,"Mesodyne's solution is a novel ultra-high energy density, multi-fuel, silent, compact power generator.","Energy, Nanotechnology","Women Founded, Women Led","Somerville, Massachusetts, United States, North America",www.mesodyne.com/,,"$3,614,615",Seed,11,"Nor'easter Ventures, Techstars",4
Seed Round - beehiiv,Seed,Seed,"$2,599,000","Oct 26, 2021",beehiiv,"Beehiiv offers a platform that enables creators to produce, monetize, and expand newsletters.","Developer Platform, Information Technology, Publishing",—,"New York, New York, United States, North America",www.beehiiv.com,,"$16,699,000",Early Stage Venture,3,Social Leverage,16
Pre Seed Round - Inspira AI Corp.,Pre-Seed,Seed,"$100,000","Nov 10, 2021",Inspira AI Corp.,AI Productivity Software services,"Artificial Intelligence, Software",—,"Los Angeles, California, United States, North America",inspira.ai,,"$509,650",Seed,3,Benny Traub,2
Seed Round - Genopets,Seed,Seed,"$8,300,000","Oct 18, 2021",Genopets,"Genopets is the world’s first Free-to-Play, Move-to-Earn NFT mobile game that makes it fun and rewarding to live an active lifestyle.","Blockchain, Gaming, Mobile Apps, Video Games",—,"Wilmington, Delaware, United States, North America",www.genopets.me/,,"$8,300,000",Seed,2,"Konvoy, Pantera Capital",18
Seed Round - Myxt,Seed,Seed,"$2,000,000","Nov 10, 2021",Myxt,Myxt is a computer software company.,—,—,"San Francisco, California, United States, North America",myxt.com/,,"$4,000,000",Seed,2,—,2
Pre Seed Round - ReloShare,Pre-Seed,Seed,"$550,000","Nov 1, 2021",ReloShare,First and only alias based hotel booking platform for government and social services organizations.,"Hospitality, Hotel, Insurance, Social Impact",—,"Chicago, Illinois, United States, North America",www.reloshare.com,,"$5,150,000",Seed,3,—,3
Seed Round - LÜK Network,Seed,Seed,"$4,000,000","Nov 1, 2021",LÜK Network,LÜK Network is a fintech-enabled B2B marketplace for the advertising industry.,"FinTech, Internet, Marketplace",—,"Los Angeles, California, United States, North America",luknetwork.com/,,"$7,690,000",Seed,4,Nyca Partners,6
Seed Round - Monet,Seed,Seed,"$2,300,000","Nov 1, 2021",Monet,Monet is an application that allows employees to advance their salaries through their mobile phones.,"FinTech, Mobile Apps",—,"Bogotá, Distrito Especial, Colombia, South America",monet.com.co,,"$2,300,000",Seed,2,Y Combinator,3
Seed Round - Elevai Labs,Seed,Seed,"$1,090,577","Nov 1, 2021",Elevai Labs,Elevai Labs is a biotechnology company that develops regenerative skin care applications.,"Beauty, Biotechnology, Cosmetics",—,"Davis, California, United States, North America",elevaiskincare.com/,,"$1,554,166",Seed,2,BRAEDEN WILLIAM LICHTI,1
Seed Round - EverythingPay,Seed,Seed,"$250,000","Oct 16, 2021",EverythingPay,Crypto/Fiat payment network processor,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Mobile Payments",—,"New York, New York, United States, North America",everythingpay.io,,"$250,000",Seed,1,Openfund,1
Seed Round - Mana.bio,Seed,Seed,"$5,000,000","Oct 18, 2021",Mana.bio,"Mana.bio is an AI based drug delivery startup, focusing on gene therapy including DNA and RNA-based therapeutics, and vaccines.",Biotechnology,—,"San Francisco, California, United States, North America",www.mana.bio,,"$10,000,000",Seed,2,NFX,1
Seed Round - HyperBeeAI,Seed,Seed,"$4,200,000","Nov 1, 2021",HyperBeeAI,HyperBeeAI develops and sells large language model (LLM)-based AI products.,—,—,"Palo Alto, California, United States, North America",www.hyperbee.ai/,,"$4,200,000",Seed,1,—,1
Pre Seed Round - 3bears.ai,Pre-Seed,Seed,"$1,000,000","Nov 1, 2021",3bears.ai,Customer service innovation startup,Customer Service,—,"Delaware, Ohio, United States, North America",3bears.ai,,"$2,000,000",Seed,2,Mensch Capital Partners,1
Seed Round - Tru,Seed,Seed,"$3,500,000","Oct 21, 2021",Tru,"Tru is a provider of functional beverages used for energy, focus, power, and refreshment.","E-Commerce Platforms, Food and Beverage, Nutrition, Sports",—,"Chestnut Hill, Massachusetts, United States, North America",drinktru.com/,,"$7,656,800",Early Stage Venture,8,Btomorrow Ventures,1
Seed Round - When Insurance,Seed,Seed,"$1,079,995","Oct 25, 2021",When Insurance,When Insurance is an employee benefit and an off boarding platform to help protect employee access to healthcare.,"Financial Services, FinTech, Health Care, Insurance, InsurTech, Software",—,"Highwood, Illinois, United States, North America",www.forwhen.com/,,"$1,679,994",Seed,2,Network Ventures,1
Pre Seed Round - First Ascent Biomedical,Pre-Seed,Seed,"$580,000","Nov 8, 2021",First Ascent Biomedical,"Personalized Cancer Therapy, Machine Learning/AI, Cancer Drug Combinations","Artificial Intelligence, Health Care, Machine Learning, Medical, Software",—,"Portland, Oregon, United States, North America",firstascentbio.com/,,"$580,000",Seed,1,"IAG Capital Partners, Techstars",3
Seed Round - Hang,Seed,Seed,"$1,000","Nov 1, 2021",Hang,Building the future of membership and loyalty for brands,—,—,"New York, New York, United States, North America",www.hang.xyz/,,"$16,001,000",Early Stage Venture,4,—,1
Seed Round - SIERA.AI,Seed,Seed,"$6,800,000","Nov 3, 2021",SIERA.AI,SIERA.AI helps industrial operations increase productivity and safety by harnessing data from IoT sensors.,"Artificial Intelligence, Computer Vision, Industrial Automation, Internet of Things, Machine Learning, Manufacturing, Predictive Analytics, SaaS, Sensor, Software",—,"Austin, Texas, United States, North America",www.siera.ai,,"$6,800,000",Seed,2,Parkway Venture Capital,2
Seed Round - CANOA,Seed,Seed,"$8,700,000","Nov 2, 2021",CANOA,"How businesses buy, sell and manage furniture at scale.","B2B, CAD, Commercial Real Estate, E-Commerce, Furniture, Interior Design, Marketplace",—,"Brooklyn, New York, United States, North America",www.canoa.supply,,"$18,900,000",Seed,3,Eclipse Ventures,1
Pre Seed Round - Lumi Health,Pre-Seed,Seed,"$150,000","Oct 18, 2021",Lumi Health,Intelligently Transforming Care,"Elder Care, Health Care, Intelligent Systems, Outpatient Care, PaaS, Software",Women Founded,"Washington, District of Columbia, United States, North America",www.lumi.health,,"$150,000",Seed,1,HeartX,1
Seed Round - Moving Analytics,Seed,Seed,"$150,000","Oct 18, 2021",Moving Analytics,Moving Analytics is a telehealth service provider that specializes in cardiovascular prevention programs.,"Health Care, Information Technology, Medical, mHealth",Black / African American Founded,"Los Angeles, California, United States, North America",www.movinganalytics.com,,"$31,640,000",Early Stage Venture,14,HeartX,1
Seed Round - Collov,Seed,Seed,"$8,000,000","Oct 28, 2021",Collov,Collov is a AI-powered virtual interior design and shopping platform that offers interior design services.,"Digital Marketing, E-Commerce, Home Decor, Home Renovation, Interior Design",—,"Menlo Park, California, United States, North America",collov.com/,,"$16,000,000",Early Stage Venture,3,"Matrix Partners China, MindWorks Capital",8
Seed Round - Rapid Silicon,Seed,Seed,"$15,000,000","Oct 26, 2021",Rapid Silicon,Rapid Silicon is a provider of domain-specific field-programmable gate array for applications.,"Artificial Intelligence, Electronic Design Automation (EDA), Field-Programmable Gate Array (FPGA), Hardware, Industrial, Open Source, Semiconductor",—,"Los Gatos, California, United States, North America",rapidsilicon.com,,"$30,000,000",Early Stage Venture,2,"Cambium Capital Partners, Chengwei Capital",2
Seed Round - Vascular Perfusion Solutions,Seed,Seed,"$850,000","Nov 11, 2021",Vascular Perfusion Solutions,Vascular Perfusion Solutions develops medical devices designed to preserve and resuscitate vascularized organs.,"Biotechnology, Medical, Medical Device",—,"San Antonio, Texas, United States, North America",vascularperfusion.solutions/,,"$6,827,402",Seed,6,—,—
Seed Round - Fleri,Seed,Seed,"$20,000","Oct 18, 2021",Fleri,"Cross-border health marketplace for global migrants with loved ones overseas, helping them find and directly pay for healthcare back home.","FinTech, Health Care, Information Technology, InsurTech, Marketplace","Black / African American Founded, Black / African American Led","Columbus, Ohio, United States, North America",www.joinfleri.com,,"$420,000",Seed,5,Techstars,1
Pre Seed Round - Bolden Therapeutics,Pre-Seed,Seed,"$800,000","Oct 15, 2021",Bolden Therapeutics,Bolden Therapeutics is a biotechnology company developing first-in-class therapeutics to treat central nervous system diseases.,"Biotechnology, Therapeutics",—,"Providence, Rhode Island, United States, North America",www.boldentherapeutics.com/,,"$2,600,880",Seed,4,—,1
Seed Round - Plannery,Seed,Seed,"$4,300,000","Nov 1, 2021",Plannery,"Democratizing financial planning. With Plannery, anyone can generate a custom, goal-based financial plan in minutes",FinTech,—,"San Francisco, California, United States, North America",planneryapp.com,,"$4,300,000",Seed,1,NextView Ventures,2
Pre Seed Round - Spoke Sciences,Pre-Seed,Seed,"$720,046","Oct 14, 2021",Spoke Sciences,Spoke Sciences is a technology development company that modernizes the formulation and delivery of plant-derived functional ingredients.,"Biotechnology, Cannabis, Food and Beverage, Pharmaceutical",—,"Seattle, Washington, United States, North America",www.spokesciences.com/,,"$720,046",Seed,1,—,—
Seed Round - California Cultured,Seed,Seed,"$4,000,000","Oct 22, 2021",California Cultured,"California Cultured is a food company creating sustainable, lab-grown cocoa that is less bitter and requires less sugar to be tasty.","Agriculture, Food and Beverage",—,"Davis, California, United States, North America",cacultured.com/,,"$4,000,000",Seed,4,"Agronomics, Prithvi Ventures",5
Pre Seed Round - Showdrop,Pre-Seed,Seed,"$1,100,000","Nov 1, 2021",Showdrop,Showdrop builds a better way for CPG brands to run powerful sampling campaigns at scale.,"Analytics, Brand Marketing, Information Technology, Market Research",—,"Chicago, Illinois, United States, North America",www.showdrop.com/,,"$1,100,000",Seed,1,New Stack Ventures,2
Pre Seed Round - Sanicle,Pre-Seed,Seed,"$160,000","Nov 1, 2021",Sanicle,Sanicle is a healthcare and wellness organisation that helps adolescent daughters' dads to understand issues related to menstruation health.,"Health Care, Personal Health, Wellness",—,"Harrisburg, Pennsylvania, United States, North America",www.sanicle.us,,"$160,000",Seed,1,—,1
Seed Round - Wonder,Seed,Seed,"$2,940,000","Oct 29, 2021",Wonder,Wonder developed a task management system designed to let DAOs launch and scale their projects with ease.,"Blockchain, Cryptocurrency, Information Technology, Management Information Systems, Software, Task Management",—,"San Francisco, California, United States, North America",www.wonderverse.xyz,,"$2,940,000",Seed,1,—,5
Seed Round - Lenco,Seed,Seed,"$100,000","Oct 18, 2021",Lenco,Lenco is a Neobank that makes current bank accounts and tools for SMEs to grow in Africa,"Banking, Financial Services, FinTech, Software",—,"San Francisco, California, United States, North America",lenco.co,,"$2,100,000",Seed,3,Techstars,1
Pre Seed Round - Spatial Labs,Pre-Seed,Seed,"$4,000,000","Oct 21, 2021",Spatial Labs,"A leading hardware-software infrastructure company shaping the future of consumer experience, and connectivity between brands","Blockchain, Digital Marketing, Software",—,"Los Angeles, California, United States, North America",www.slabs.one,,"$14,000,000",Seed,3,—,1
Seed Round - Verivend,Seed,Seed,"$500,000","Oct 28, 2021",Verivend,The Platform Powering How Capital Moves,"B2B, Financial Services, FinTech",—,"Buffalo, New York, United States, North America",www.verivend.com,,"$4,050,000",Seed,5,43North,1
Pre Seed Round - AllTakes,Pre-Seed,Seed,"$4,224,992","Oct 19, 2021",AllTakes,"AllTakes is an online universe designed for women to gather, do interesting things, and connect with their tribes.","Information Technology, Internet","Women Founded, Women Led","Los Altos, California, United States, North America",www.alltakes.com,,"$4,224,992",Seed,1,—,—
Seed Round - Cash Flow Portal,Seed,Seed,"$3,500,000","Nov 12, 2021",Cash Flow Portal,Cash Flow Portal is a real-estate syndication software that accelerates capital raising.,"Commercial Real Estate, Property Management, Real Estate Investment, Software",—,"Seattle, Washington, United States, North America",www.cashflowportal.com/,,"$4,500,000",Seed,2,—,2
Seed Round - BetterMynd,Seed,Seed,"$500,000","Oct 28, 2021",BetterMynd,BetterMynd is an online therapy platform for college students.,"Health Care, Internet, mHealth, Psychology",—,"Buffalo, New York, United States, North America",www.bettermynd.com/,,"$850,000",Seed,3,43North,1
Pre Seed Round - BeyondRanked,Pre-Seed,Seed,"$120,000","Nov 7, 2021",BeyondRanked,BeyondRanked decentralizes access to esports production by making it simple to find and manage on-screen talent and teams.,"eSports, Media and Entertainment, Online Games, Video Games",—,"Indianapolis, Indiana, United States, North America",beyondranked.com,,"$120,000",Seed,1,Techstars,1
Seed Round - eGlint,Seed,Seed,"$2,400,000","Nov 12, 2021",eGlint,Developer of a miniature biosensing device intended to use a small blood volume to derive data on multiple biomarkers present in the sample.,—,—,"San Diego, California, United States, North America",www.eglintbio.com/,,"$2,400,000",Seed,1,Emerald Bioventures,5
Pre Seed Round - Bumper,Pre-Seed,Seed,"$500,000","Oct 21, 2021",Bumper,Bumper is one of the first educational investment apps for teenagers.,"Financial Services, FinTech",—,"Lincoln, Nebraska, United States, North America",www.joinbumper.com/,,"$600,000",Seed,3,—,4
Seed Round - Universe Software,Seed,Seed,"$10,979,964","Nov 2, 2021",Universe Software,Universe Software is a holding company of Vertical Fintech businesses.,Software,—,"Atlanta, Georgia, United States, North America",www.universesoftware.com/,,"$19,509,946",Seed,3,—,—
Pre Seed Round - 3bears.ai,Pre-Seed,Seed,"$1,000,000","Nov 1, 2021",3bears.ai,Customer service innovation startup,Customer Service,—,"Delaware, Ohio, United States, North America",3bears.ai,,"$2,000,000",Seed,2,—,0
Pre Seed Round - Ecocrumb,Pre-Seed,Seed,"$120,000","Nov 7, 2021",Ecocrumb,Ecocrumb helps businesses to track and manage their environmental and social impacts.,"Apps, Environmental Consulting, Management Information Systems, Social Impact, Software, Sustainability",—,"Minneapolis, Minnesota, United States, North America",www.ecocrumb.app/,,"$120,000",Seed,1,Techstars,2
Pre Seed Round - Vint,Pre-Seed,Seed,"$1,700,000","Nov 9, 2021",Vint,Vint is an investment platform that enables investors to buy shares of wine and spirit collections.,"FinTech, Funding Platform, Trading Platform, Wine And Spirits",—,"Richmond, Virginia, United States, North America",www.vint.co,,"$6,700,000",Seed,3,Fintech Ventures Fund,6
Seed Round - Zippity Cars,Seed,Seed,"$3,270,000","Oct 29, 2021",Zippity Cars,Zippity Cars is a platform that offers convenient and on-site car care services at home or the workplace.,"Automotive, Service Industry",—,"Arlington, Massachusetts, United States, North America",zippitycars.com,,"$3,270,000",Seed,2,—,3
Seed Round - Meow,Seed,Seed,"$5,000,000","Nov 8, 2021",Meow,Meow helps companies earn yield on their cash by offering access to U.S. Treasury Bills and high-yield business checking accounts.,"Financial Services, FinTech",—,"New York, New York, United States, North America",meow.co,,"$27,000,000",Early Stage Venture,2,—,10
Seed Round - Manufactured,Seed,Seed,"$3,000,000","Oct 30, 2021",Manufactured,Manufactured is an end-to-end inventory manufacturing and finance solution that connects businesses with vendors.,"Consumer Goods, Internet, Manufacturing, Supply Chain Management",—,"Culver City, California, United States, North America",www.manufactured.com/,,"$19,000,000",—,9,Tenacity Venture Capital,7
Pre Seed Round - Growth Channel,Pre-Seed,Seed,"$200,000","Oct 20, 2021",Growth Channel,"We make it easy for marketers to plan, launch, & optimize their campaigns across 150+ channels from a single dashboard.","Advertising, Analytics, Artificial Intelligence, Big Data, Marketing, SaaS, Software","Women Founded, Women Led","Austin, Texas, United States, North America",growthchannel.io,,"$200,000",Seed,3,—,1
Pre Seed Round - Simplifyber,Pre-Seed,Seed,"$120,000","Oct 18, 2021",Simplifyber,Simplifyber is a creator of fully-molded garment and shoe uppers made directly from a cellulose-based liquid.,"Advanced Materials, Chemical Engineering, CleanTech, Fashion, Manufacturing, Sustainability",—,"New York, New York, United States, North America",www.simplifyber.com/,,"$3,620,000",Seed,2,Techstars,3
Seed Round - P0x Labs,Seed,Seed,"$5,500,000","Oct 19, 2021",P0x Labs,P0x Labs is the team behind Manta Network is a privacy-preserving technology operating on the Polkadot blockchain.,—,—,"Boston, Massachusetts, United States, North America",p0xlabs.xyz/,,"$31,600,000",Early Stage Venture,4,CoinFund,17
"Pre Seed Round - Showcase Ventures, Inc.",Pre-Seed,Seed,"$120,000","Nov 10, 2021","Showcase Ventures, Inc.",Music Discovery Platform,"Independent Music, Mobile Apps, Music, Music Streaming",—,"Scranton, Pennsylvania, United States, North America",www.showcasedaily.com,,"$320,000",Seed,2,Norman Lavintman,1
Seed Round - Hyype,Seed,Seed,"$2,000,000","Oct 26, 2021",Hyype,"Hyype is an NFT based social network where communities will find a home to connect, share stories, and collaboratively build their history.",Cryptocurrency,—,"Nashville, Tennessee, United States, North America",hyy.pe/,,"$3,500,000",Seed,2,Elevation Capital,5
Pre Seed Round - Green Canopy NODE,Pre-Seed,Seed,"$120,000","Nov 10, 2021",Green Canopy NODE,Green Canopy NODE operates as a vertically integrated construction technology firm and fund manager.,"Construction, Environmental Engineering, Impact Investing",—,"Seattle, Washington, United States, North America",www.greencanopynode.com/,,"$269,985",Seed,4,Techstars,1
Seed Round - Harvest Thermal,Seed,Seed,"$1,900,000","Nov 1, 2021",Harvest Thermal,"Harvest Thermal develops a control system for home use that integrates heating, hot water, and cooling with thermal storage.","Electronics, Energy Efficiency, Home Improvement","Women Founded, Women Led","Berkeley, California, United States, North America",www.harvest-thermal.com,,"$6,844,738",Seed,8,—,1
Pre Seed Round - Local Sports Network,Pre-Seed,Seed,"$120,000","Nov 12, 2021",Local Sports Network,"Local Sports Network is a digital community working to strengthen ties between sports fans, high schools, and athletes.","Media and Entertainment, Social, Sports",—,"Austin, Texas, United States, North America",localsports.network,,"$170,000",Seed,3,Techstars,1
Seed Round - Lantern,Seed,Seed,"$40,000,000","Oct 13, 2021",Lantern,Lantern is the cannabis e-commerce marketplace and on-demand delivery platform.,"Consumer Lending, E-Commerce, Marketplace","Women Founded, Women Led","Grand Rapids, Michigan, United States, North America",www.lanternnow.com,,"$40,000,000",Seed,1,Drizly,2
Pre Seed Round - NovaXS Biotech,Pre-Seed,Seed,"$75,000","Nov 10, 2021",NovaXS Biotech,NovaXS Biotech is a smart medical device startup focused on advanced drug delivery and users' long-term health.,"Biotechnology, Health Care, Medical Device",Women Led,"Chicago, Illinois, United States, North America",www.novaxs.co/,,"$1,921,500",Seed,3,—,1
Pre Seed Round - INF Care,Pre-Seed,Seed,"$200,000","Nov 3, 2021",INF Care,"Using generative Ai to transform senior living to optimize workflows, reduce labor costs and improve QoL for residents.",—,—,"Fairfax, Virginia, United States, North America",inf.care/,,"$600,000",Seed,2,Right Side Capital Management,1
Pre Seed Round - Hireguide,Pre-Seed,Seed,"$20,000","Nov 10, 2021",Hireguide,Hireguide is a platform that allows users to hire talents by making structured interviews.,"Human Resources, Recruiting, Software",—,"Santa Monica, California, United States, North America",www.hireguide.com/,,"$20,000",Seed,1,Techstars,1
Seed Round - Cotalker,Seed,Seed,"$3,200,000","Nov 3, 2021",Cotalker,Cotalker is a field service platform that provides digital transformation solutions for assets and field workers.,SaaS,—,"Miami Beach, Florida, United States, North America",www.cotalker.com,,"$4,450,000",Seed,2,Genesis Ventures,3
Seed Round - Inworld AI,Seed,Seed,"$7,200,000","Nov 8, 2021",Inworld AI,Inworld AI is a character engine for creating AI NPCs in games and interactive experiences.,"Artificial Intelligence, Gaming, Machine Learning, Virtual Reality",—,"Mountain View, California, United States, North America",inworld.ai,,"$119,700,000",—,6,"CRV, Kleiner Perkins",5
Seed Round - Clara Biotech,Seed,Seed,"$1,500,000","Nov 3, 2021",Clara Biotech,"We are exosomes! We can extract any species of pure, viable, in-tact exosome from any biofluid source into pure solution.",Biotechnology,Women Founded,"Lawrence, Kansas, United States, North America",clarabio.tech,,"$1,810,980",Seed,4,—,1
Pre Seed Round - Zingly,Pre-Seed,Seed,"$1,000,000","Nov 8, 2021",Zingly,Zingly is currently operating in stealth mode.,—,—,"San Ramon, California, United States, North America",,,"$5,450,000",—,2,Array Ventures,1
Seed Round - Parabeac,Seed,Seed,"$685,000","Nov 2, 2021",Parabeac,Parabeac helps app development teams automate their design to development processes.,Developer Tools,"Hispanic / Latine Founded, Hispanic / Latine Led","El Paso, Texas, United States, North America",parabeac.com,,"$1,287,000",Seed,6,"Abstraction Capital, Beto Pallares",7
Pre Seed Round - Swiftsure Innovations,Pre-Seed,Seed,"$1,050,000","Nov 1, 2021",Swiftsure Innovations,Swiftsure Innovations provides registered nurses with the tools required to improve patient outcomes.,"Health Care, Medical Device, Wellness","Women Founded, Women Led","Newfoundland, Pennsylvania, United States, North America",swiftsureinnovations.com/,,"$3,499,500",Seed,4,—,5
Pre Seed Round - Luminary Therapeutics,Pre-Seed,Seed,"$374,993","Nov 4, 2021",Luminary Therapeutics,Luminary Therapeutic is a cancer research center that develops pre-clinical stage cell therapy for cancer and autoimmune diseases.,"Biotechnology, Health Care, Life Science",—,"Minneapolis, Minnesota, United States, North America",luminarytx.com/,,"$2,689,993",Seed,3,—,—
Pre Seed Round - Embr,Pre-Seed,Seed,"$2,200,000","Nov 9, 2021",Embr,"Building a better payment system, Decentralized.","Blockchain, FinTech, Information Technology, Payments, Software",—,"Austin, Texas, United States, North America",embr.org,,"$2,200,000",Seed,1,—,—
Seed Round - Akute Health,Seed,Seed,"$455,000","Oct 30, 2021",Akute Health,Akute Health develops the medical record system for direct care & digital health companies,"Health Care, Information Technology, Medical, Productivity Tools, Software",—,"Austin, Texas, United States, North America",www.akutehealth.com,,"$950,000",Seed,3,—,2
Pre Seed Round - CartUp AI,Pre-Seed,Seed,"$470,000","Nov 1, 2021",CartUp AI,"SaaS, ecommerce, generative AI, discovery, personalization","Artificial Intelligence, E-Commerce, Software",—,"San Francisco, California, United States, North America",www.cartup.ai,,"$470,000",Seed,1,—,—
Seed Round - Hest Outdoors,Seed,Seed,"$2,000,000","Nov 3, 2021",Hest Outdoors,Hest Outdoors delivers high-performance and well-designed products to improve enjoyment and experience outdoors.,"Building Material, Consumer Goods, Outdoors",—,"Seattle, Washington, United States, North America",hest-outdoors.myshopify.com/,,"$2,950,000",Seed,3,Ascend,3
Pre Seed Round - Noves,Pre-Seed,Seed,"$1,350,000","Oct 15, 2021",Noves,"Noves (no-vez) APIs translate raw blockchain data into human-readable format, for more user-friendly wallets, dApps, DeFi, and more.","Analytics, Blockchain, Software",—,"Las Vegas, Nevada, United States, North America",noves.fi,,"$1,350,000",Seed,1,—,—
Seed Round - WeMeta,Seed,Seed,"$1,100,000","Nov 3, 2021",WeMeta,WeMeta is the go-to platform for all things Metaverse,"Blockchain, Internet",—,"New York, New York, United States, North America",wemeta.world,,"$1,100,000",Seed,1,—,8
Pre Seed Round - Lundy Inc,Pre-Seed,Seed,"$290,000","Nov 1, 2021",Lundy Inc,"Voice Technology, SaaS, PropTech, Assistive Technology","Assistive Technology, Information Technology, Real Estate",—,"San Diego, California, United States, North America",www.getlundy.io,,"$290,000",Seed,1,—,1
Seed Round - Afterparty,Seed,Seed,"$3,000,000","Nov 3, 2021",Afterparty,"Afterparty is a technology company that builds web3 platform for artists, musicians, collectors, and creators.","Content Creators, Cryptocurrency, Internet",—,"Los Angeles, California, United States, North America",afterparty.com,,"$17,025,663",—,3,"Acrew Capital, TenOneTen Ventures",17
Seed Round - Freemodel,Seed,Seed,"$3,850,000","Oct 31, 2021",Freemodel,"Freemodel designs, manages, and pays up-front for pre-sales home renovations.",Home Improvement,—,"Burlingame, California, United States, North America",www.freemodel.com,,"$23,350,000",Early Stage Venture,3,—,1
Seed Round - Buzzkill Labs,Seed,Seed,"$4,383,277","Nov 4, 2021",Buzzkill Labs,Buzzkill Labs develops and commercializes drug testing for legal cannabis.,"Biotechnology, Health Care, Health Diagnostics, Medical",—,"Livermore, California, United States, North America",www.buzzkilllabs.com/,,"$4,383,277",Early Stage Venture,2,—,—
