Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - C & The Moon,Seed,Seed,"$325,000","May 1, 2020",C & The Moon,C & The Moon is a skincare line made in Malibu that produces natural beauty care products intended to be used for skin nourishment.,"Beauty, Cosmetics, Organic, Personal Health",Women Founded,"Malibu, California, United States, North America",www.candthemoon.com/,,"$325,000",Seed,1,—,—
Seed Round - Verana Networks,Seed,Seed,"$9,050,000","Apr 27, 2020",Verana Networks,Verana Networks develops an innovative 5G Radio Access Network solution for service providers.,"Mobile, Telecommunications, Wireless",—,"Waltham, Massachusetts, United States, North America",www.verananetworks.com/,,"$52,550,000",—,5,—,—
Pre Seed Round - Omni Biosciences,Pre-Seed,Seed,"$25,000","Apr 3, 2020",Omni Biosciences,Omni Biosciences is a minority women-owned biotechnology company.,Biotechnology,—,"Frederick, Maryland, United States, North America",www.omnibiosciences.com,,"$25,000",Seed,1,TEDCO,1
Seed Round - Weav,Seed,Seed,"$150,000","Mar 16, 2020",Weav,Weav is an API for commerce platforms that allows its users to access their customers' standardized transaction data in real-time.,"Developer APIs, FinTech, Information Technology",—,"New York, New York, United States, North America",weav.co/,,"$4,450,000",M&A,2,—,1
Seed Round - C. Meyers Feldman & Co,Seed,Seed,"$250,000","Apr 1, 2020",C. Meyers Feldman & Co,C. Meyers Feldman & Co provides payroll and medical billing services for operating independent property and casualty insurance agency.,"Billing, Financial Services, Insurance",—,"Naples, Florida, United States, North America",cmeyersfeldman.com/,,"$250,000",Seed,1,—,—
Seed Round - SolarGaps,Seed,Seed,"$50,000","Apr 28, 2020",SolarGaps,SolarGaps is a smart blinds that generate electricity.,"Energy, Smart Building, Solar",—,"Redwood City, California, United States, North America",solargaps.com,,"$1,271,438",Seed,8,Ukrainian Startup Fund,1
Seed Round - Talyn Air,Seed,Seed,"$1,500,000","Mar 16, 2020",Talyn Air,Talyn Air is an electric vertical takeoff and landing aircraft system.,"Air Transportation, Electric Vehicle, Electronics",—,"Los Angeles, California, United States, North America",www.talyn.com,,"$6,300,000",M&A,4,Y Combinator,3
Pre Seed Round - Laserfocus,Pre-Seed,Seed,"$50,000","Apr 24, 2020",Laserfocus,Laserfocus helps streamline sales processes to help increase sales productivity.,"B2B, CRM, SaaS, Sales, Sales Automation, Software",—,"San Francisco, California, United States, North America",www.laserfocus.io/,,"$555,000",Seed,4,—,—
Pre Seed Round - Huvii,Pre-Seed,Seed,"€50,000","Apr 14, 2020",Huvii,Huvii is a gaming and advertising platform that digitalizes bar and restaurant entertainment.,"Advertising, Freemium, Gaming, Hospitality, Media and Entertainment, Restaurants, Software",—,"Chicago, Illinois, United States, North America",huvii.io,,"€250,000",Seed,2,—,1
Seed Round - Rgand,Seed,Seed,"$3,000,000","Mar 30, 2020",Rgand,Global e-commerce direct-trade wholesale marketplace for foodservice industry,"E-Commerce, Marketplace, Restaurants, Wholesale",—,"Hallandale, Florida, United States, North America",rgand.com,,"$14,180,000",Seed,5,—,1
Seed Round - InnovaPrep,Seed,Seed,"$500,000","Mar 23, 2020",InnovaPrep,"InnovaPrep is engaged in product development, manufacturing, sales, service, and related out-licensing of collection of novel technologies.","Biotechnology, Manufacturing, Project Management",—,"Drexel, Missouri, United States, North America",www.innovaprep.com/,,"$6,409,656",Late Stage Venture,6,—,1
Seed Round - Robin Games,Seed,Seed,"$7,000,000","Mar 19, 2020",Robin Games,"Robin Games provide stylish, sophisticated fantasy content in an elevated way that is missing from the current gaming landscape.","Gaming, PC Games","Women Founded, Women Led","Venice, California, United States, North America",robingames.com,,"$21,000,000",Early Stage Venture,2,LVP,9
Seed Round - Airhouse,Seed,Seed,"$3,500,000","Apr 1, 2020",Airhouse,Airhouse is an end-to-end fulfillment solution for ecommerce companies.,"E-Commerce, Logistics, Software",—,"San Francisco, California, United States, North America",www.airhouse.io,,"$16,500,000",Early Stage Venture,4,Lachy Groom,11
Pre Seed Round - Logica,Pre-Seed,Seed,"$50,000","May 1, 2020",Logica,Logica is a financial forecasting platform that allows finance teams to collaborate with the entire organization securely and efficiently.,"Finance, Financial Services, FinTech, Software",Hispanic / Latine Founded,"Omaha, Nebraska, United States, North America",logica.cloud,,"$1,050,000",Seed,3,Invest Nebraska,1
Pre Seed Round - Okay,Pre-Seed,Seed,"$150,000","Mar 16, 2020",Okay,Okay is a run high-performing teams with dashboards and user-friendly workflows.,"Business Intelligence, Developer Tools, Internet, Productivity Tools, Software",Hispanic / Latine Founded,"San Francisco, California, United States, North America",www.okayhq.com/,,"$6,630,000",M&A,3,Y Combinator,1
Seed Round - Monument,Seed,Seed,"$7,500,000","May 11, 2020",Monument,"Monument is an online treatment platform that offers alcohol addiction treatment, telehealth, teletherapy, and therapy services.","Health Care, Health Diagnostics, Therapeutics, Wellness",—,"New York, New York, United States, North America",joinmonument.com,,"$23,614,926",—,4,Collaborative Fund,6
Seed Round - Pass It Down,Seed,Seed,"$870,000","May 7, 2020",Pass It Down,"Pass It Down is a web and mobile app that allows users to record, share, and preserve family stories in video, audio, text, and photos.","Family, Mobile, Video",—,"Baton Rouge, Louisiana, United States, North America",www.passitdown.com,,"$3,270,000",Seed,6,—,—
Seed Round - VeeOne Health,Seed,Seed,"$300,000","May 5, 2020",VeeOne Health,"VeeOne Health is a virtual healthcare technology & services company, specializing in advanced Telemedicine and Virtual Healthcare services.","Health Care, Medical, Medical Device",—,"Roseville, California, United States, North America",www.veeonehealth.com,,"$1,550,000",Seed,3,—,—
Seed Round - Zenerchi,Seed,Seed,"$575,000","Mar 26, 2020",Zenerchi,Zenerchi is a life extension and biomedical simulation and visualization AI company,"Artificial Intelligence, Biotechnology, Computer, Health Care, Life Science, Software",—,"Sandy, Utah, United States, North America",www.simviz.ai/,,"$1,775,000",Seed,2,—,—
Seed Round - Iris Healthcare,Seed,Seed,"$750,000","Apr 24, 2020",Iris Healthcare,Iris Healthcare delivers the industry’s most comprehensive Advance Care Planning (ACP) solution.,"Health Care, Information Technology",—,"Austin, Texas, United States, North America",www.irishealthcare.com/,,"$750,000",M&A,1,—,1
Seed Round - Machnet,Seed,Seed,"$50,000","May 4, 2020",Machnet,Machpay is all in one single programmable API for cross border payments.,"Banking, Financial Services, FinTech, Information Technology, Payments, Software",—,"Santa Clara, California, United States, North America",machnetinc.com/,,"$670,000",Seed,5,—,1
Seed Round - Boxologic,Seed,Seed,"$500,000","Mar 20, 2020",Boxologic,BOXOLOGIC Box-on-Demand Robotics,"E-Commerce, Industrial Automation, Robotics, Supply Chain Management",—,"Boston, Massachusetts, United States, North America",www.boxologic.com,,"$955,000",Seed,6,Stanley Ventures,1
Seed Round - Eagle Lake Laboratories,Seed,Seed,"$930,000","Mar 23, 2020",Eagle Lake Laboratories,Eagle Lake Laboratories is a Florida based engineering corporation.,"Computer, Information Technology, Network Security, Software",—,"Palm Bay, Florida, United States, North America",eaglelakelabs.com/,,"$930,000",Seed,1,—,—
Seed Round - Openprise,Seed,Seed,"$4,000,000","Apr 22, 2020",Openprise,Openprise RevOps Automation Platform fuels company growth by automating hundreds of sales and marketing processes.,"Big Data, CRM, Data Integration, Marketing Automation, SaaS, Sales Automation",—,"San Mateo, California, United States, North America",www.openprisetech.com,,"$33,272,502",Early Stage Venture,6,Foothill Ventures,3
Pre Seed Round - Cadence,Pre-Seed,Seed,"$150,000","Mar 16, 2020",Cadence,"Each month, Cadence designs, schedules, and hosts virtual events that keep remote teams happy and engaged.","Information Technology, Meeting Software, Software","Women Founded, Women Led","San Mateo, California, United States, North America",www.cadencework.com/,,"$150,000",Seed,1,—,1
Pre Seed Round - Cultured Decadence,Pre-Seed,Seed,"$100,000","Mar 31, 2020",Cultured Decadence,Cultured Decadence creats novel methods to make crustacean products using cell culture and tissue engineering techniques.,"Beauty, Biotechnology, Health Care, Information Technology",—,"Madison, Wisconsin, United States, North America",www.cultureddecadence.com/,,"$1,700,000",M&A,4,gener8tor,3
Pre Seed Round - Retina Technologies,Pre-Seed,Seed,"$258,000","May 11, 2020",Retina Technologies,Retina Technologies is making vision screening accessible with portable technologies.,"Health Care, Information Technology, Medical, Medical Device",—,"New York, New York, United States, North America",retina-technologies.com/,,"$333,000",Seed,3,Harvard Business School Alumni Angels of Greater NY,2
Seed Round - Spire Animation Studios,Seed,Seed,"$4,500,000","Apr 2, 2020",Spire Animation Studios,"Spire Animation Studios makes animated feature films with heartfelt storytelling, captivating worlds, and inspiring characters.",Animation,—,"Sherman Oaks, California, United States, North America",www.spirestudios.com/,,"$24,500,000",—,3,Connect Ventures,1
Seed Round - Two Roads Brewing Company,Seed,Seed,"$312,473","Apr 13, 2020",Two Roads Brewing Company,Two Roads Brewing Company is a producer of craft beer using a combination of classic German as well as American hop and malt varieties.,"Brewing, Craft Beer, Food and Beverage",—,"Stratford, Connecticut, United States, North America",tworoadsbrewing.com/,,"$5,312,473",—,3,—,—
Seed Round - VivaLnk,Seed,Seed,"$39,999","Mar 16, 2020",VivaLnk,VivaLnk is a provider of connected healthcare solutions for in-patient and remote patient monitoring.,"Electronics, Health Care, Hospital, Medical, Medical Device, Wellness",—,"Santa Clara, California, United States, North America",www.vivalink.com/,,"$39,999",Seed,1,—,—
Seed Round - PolyGroup,Seed,Seed,"$100,500","Apr 2, 2020",PolyGroup,Poly Group is a patented antimicrobial technology company that develops a biocompatible antimicrobial co-polymer.,"Biotechnology, Chemical, Life Science",—,"New Albany, Indiana, United States, North America",www.polygroupllc.net,,"$2,431,264",Seed,5,—,—
Seed Round - MEDcraze,Seed,Seed,"$3,000,000","May 4, 2020",MEDcraze,"MEDcraze is a unique online community built by Patients, Clinicians and Industry.","Health Care, Hospital",—,"Athens, Georgia, United States, North America",medcraze.com/,,"$3,000,000",Seed,1,JG Griffeth Investments,1
Seed Round - Foodie Card,Seed,Seed,"$1,500,000","Apr 28, 2020",Foodie Card,Foodie Card is a dining subscription firm.,"Food and Beverage, Restaurants, Social",—,"Syosset, New York, United States, North America",www.foodiecard.com/,,"$6,208,219",—,2,Ruttenberg Gordon Investments,6
Pre Seed Round - Provider Pool,Pre-Seed,Seed,"$250,000","Apr 1, 2020",Provider Pool,Provider Pool is an online labor marketplace connecting hospitals to nurses for on-demand staffing needs.,"Employment, Health Care, Marketplace, Recruiting","Black / African American Founded, Black / African American Led, Women Founded, Women Led","St Louis, Missouri, United States, North America",providerpool.co,,"$650,000",Seed,6,Techstars,3
Seed Round - Yardstik,Seed,Seed,"$4,000,000","Apr 24, 2020",Yardstik,Yardstik is a software company that develops a screening and certification management system.,"Consulting, Outsourcing, Software",—,"Minneapolis, Minnesota, United States, North America",yardstik.com,,"$12,000,000",Early Stage Venture,2,Rally Ventures,1
Seed Round - AcreTrader,Seed,Seed,"$5,000,000","Apr 10, 2020",AcreTrader,"AcreTrader is a technology company connecting investors, land, and farmers.","Agriculture, AgTech, Asset Management, FinTech, Real Estate Investment",—,"Fayetteville, Arkansas, United States, North America",www.acretrader.com,,"$82,472,750",—,7,RZC Investments,2
Pre Seed Round - gameSense Sports,Pre-Seed,Seed,"$120,000","Apr 9, 2020",gameSense Sports,GameSense Sports offers software for Cognitive Sports Training,"Baseball, Software, Sports",—,"Denver, Colorado, United States, North America",www.gamesensesports.com,,"$120,000",—,2,Techstars,1
Seed Round - Big Run Studios,Seed,Seed,"$1,400,000","Mar 24, 2020",Big Run Studios,Big Run Studios is a building cutting edge mobile games for overlooked and underserved audiences.,"Online Games, PC Games",—,"Oakland, California, United States, North America",bigrunstudios.com/,,"$6,650,000",Seed,3,EOS VC Fund,1
Seed Round - SmileSnap,Seed,Seed,"$500,000","May 11, 2020",SmileSnap,SmileSnap is a smile assessment and virtual consultation tool for the dental industry.,"Apps, Dental, Health Care, Health Diagnostics, Software",—,"Denver, Colorado, United States, North America",www.smilesnap.com,,"$500,000",Seed,1,—,—
Seed Round - Topa Topa Brewing Company,Seed,Seed,"$700,000","Apr 6, 2020",Topa Topa Brewing Company,Topa Topa Brewing Company engages in the production of hand-crafted beers.,"Brewing, Craft Beer, Food and Beverage",—,"Ventura, California, United States, North America",www.topatopa.beer/,,"$760,000",Seed,2,—,—
Seed Round - Stamus Networks,Seed,Seed,"$1,500,000","Apr 9, 2020",Stamus Networks,Stamus Networks is a provider of high-performance network-based threat detection and hunting systems.,"Big Data, Cyber Security, Information Technology, Intrusion Detection, Network Security",—,"Indianapolis, Indiana, United States, North America",www.stamus-networks.com/,,"$7,500,000",Early Stage Venture,2,"Elevate Ventures, VisionTech Partners",2
Pre Seed Round - Buildforce,Pre-Seed,Seed,"$1,050,000","Apr 1, 2020",Buildforce,Buildforce is a career lifecycle platform for people in the construction trades.,"Construction, Industrial, SaaS",—,"Houston, Texas, United States, North America",buildforce.com/,,"$10,425,996",—,4,Mercury,2
Seed Round - BoxMagic,Seed,Seed,"$225,000","Apr 10, 2020",BoxMagic,BoxMagic is a mobile app helping gym owners to run their day to day operations.,"E-Commerce, Fitness, Information Technology, Personal Health, Software, Sports",—,"Charlotte, North Carolina, United States, North America",www.boxmagic.cl,,"$665,000",Seed,7,—,—
Seed Round - Aprende Institute,Seed,Seed,"$1,663,750","Apr 17, 2020",Aprende Institute,Aprende Institute is the online education platform for vocational skills training in the US hispanic market and LATAM.,"EdTech, Education",Hispanic / Latine Led,"Coral Gables, Florida, United States, North America",aprende.com/,,"$27,163,750",Early Stage Venture,3,—,5
Seed Round - Hallo,Seed,Seed,"$1,114,000","Apr 1, 2020",Hallo,"AI career platform for coaching, interview training, and networking.","Artificial Intelligence, Education, Human Resources","Black / African American Founded, Black / African American Led","Los Angeles, California, United States, North America",www.hallo.com,,"$1,864,000",Seed,3,—,4
Seed Round - Agency Spotter,Seed,Seed,"$230,000","May 7, 2020",Agency Spotter,Agency Spotter software makes it easy to find and manage partners such as marketing agencies via AgencySpotter.com and SpotSource.com,"Enterprise Software, Internet, IT Management, Marketing, SaaS, Software, Supply Chain Management",—,"Atlanta, Georgia, United States, North America",spotsource.com,,"$295,000",Seed,3,—,—
Pre Seed Round - Vishion,Pre-Seed,Seed,"$10,000","Apr 2, 2020",Vishion,"Vishion is a color search engine, planning tool and resource to find home specialists to advise on DIY projects","Apps, E-Commerce, Fashion, Mobile, Mobile Apps","Women Founded, Women Led","Charlotte, North Carolina, United States, North America",www.vishion.co,,"$315,000",Seed,3,SoGal Ventures,1
Seed Round - Angel Investors List,Seed,Seed,"$1,000,000","Apr 5, 2020",Angel Investors List,A Database of Carefully Selected 3100+ Angel Investors List. Pitch Them for Funding. Free Trial Access to Live Database,"Banking, Insurance",—,"Los Angeles, California, United States, North America",datastarta.com,,"$1,000,000",Seed,1,—,—
Seed Round - AllHere Education,Seed,Seed,"$3,500,000","May 5, 2020",AllHere Education,AllHere is an attendance intervention management platform for K-12 schools and districts.,"Artificial Intelligence, Education, Internet, Software","Black / African American Founded, Black / African American Led, Women Founded, Women Led","Boston, Massachusetts, United States, North America",www.allhere.com,,"$12,100,000",Early Stage Venture,4,Rethink Education,6
Seed Round - Adla,Seed,Seed,"$150,000","Mar 16, 2020",Adla,Adla is a clothing company that provides an artificially intelligent styling service.,"Artificial Intelligence, E-Commerce, Fashion",—,"New York, New York, United States, North America",www.tryadla.com,,"$150,000",Seed,2,—,1
Seed Round - Hyperproof,Seed,Seed,"$2,781,000","Mar 25, 2020",Hyperproof,Hyperproof is a cloud-based compliance operations software that collects evidence automatically and manages a compliance program.,"Cloud Computing, Compliance, Cyber Security, Enterprise Software, Risk Management, SaaS, Software",—,"Bellevue, Washington, United States, North America",www.hyperproof.io,,"$62,281,000",Private Equity,5,—,—
Seed Round - Zigazoo,Seed,Seed,"$4,000,000","Apr 22, 2020",Zigazoo,"The world's largest social media app for kids. A positive, empowering community where users create videos, enter challenges, and win prizes.","Children, Digital Entertainment, E-Learning, EdTech, Social Media",—,"Miami, Florida, United States, North America",www.zigazoo.com/,,"$25,000,000",Early Stage Venture,4,—,1
Pre Seed Round - BuildBuddy,Pre-Seed,Seed,"$150,000","Mar 16, 2020",BuildBuddy,"BuildBuddy provides enterprise features for Bazel, an open-source build system that allows companies to build and test software faster.","Enterprise Software, Open Source, Software",—,"Palo Alto, California, United States, North America",buildbuddy.io/,,"$3,300,000",Seed,2,Y Combinator,2
Seed Round - Alembic,Seed,Seed,"$2,000,000","Mar 23, 2020",Alembic,Alembic is a MarTech startup that develops digital marketing tools and provides insights to help companies' marketing teams.,"Big Data, Business Intelligence, Marketing, Predictive Analytics, SaaS",Hispanic / Latine Founded,"San Francisco, California, United States, North America",getalembic.com,,"$10,850,000",—,5,—,1
Seed Round - Hayden AI,Seed,Seed,"$5,000,000","Apr 28, 2020",Hayden AI,We deliver leading edge technology that powers safer and smarter communities.,"Artificial Intelligence, Big Data, Computer Vision, Geospatial, GovTech, Machine Learning, Smart Cities",—,"Oakland, California, United States, North America",www.hayden.ai,,"$50,300,000",Early Stage Venture,5,Autotech Ventures,3
Seed Round - Monarch Biosciences,Seed,Seed,"$1,000,000","Apr 8, 2020",Monarch Biosciences,Monarch Biosciences is commercializing the next generation of cell therapy and regenerative medicine products.,"Biotechnology, Health Care",—,"Los Angeles, California, United States, North America",monarch-bio.com,,"$1,000,000",Seed,1,Checkmate Capital,1
Seed Round - finally,Seed,Seed,"$535,000","Apr 29, 2020",finally,Finally is a fintech company that helps small and medium-sized businesses automate their accounting and finance.,"Accounting, B2B, Consulting, FinTech, Information Technology","Hispanic / Latine Founded, Women Founded","Miami, Florida, United States, North America",www.finally.com/,,"$99,085,000",Early Stage Venture,6,Active Capital,2
Seed Round - Rapid TPC,Seed,Seed,"$75,000","Mar 26, 2020",Rapid TPC,Rapid TPC manufactures and delivers thermoplastic composite parts to industries and markets.,"Consumer Goods, Manufacturing",—,"Pittsburgh, Pennsylvania, United States, North America",www.rapidtpc.com/,,"$95,000",Seed,3,—,1
Seed Round - Nugget,Seed,Seed,"$650,000","Mar 16, 2020",Nugget,Nugget is an online platform for short-form audio.,"Digital Entertainment, Digital Media, Podcast",—,"Brooklyn, New York, United States, North America",nugget.fm/,,"$650,000",Seed,1,—,3
Seed Round - Machnet,Seed,Seed,"$30,000","May 5, 2020",Machnet,Machpay is all in one single programmable API for cross border payments.,"Banking, Financial Services, FinTech, Information Technology, Payments, Software",—,"Santa Clara, California, United States, North America",machnetinc.com/,,"$670,000",Seed,5,—,—
Seed Round - Riot,Seed,Seed,"$2,217,500","Mar 15, 2020",Riot,Riot develops of a security platform designed for fighting phishing attempts.,"Cyber Security, Network Security, Software, Training",—,"San Francisco, California, United States, North America",tryriot.com/,,"$14,217,500",Early Stage Venture,3,Y Combinator,5
Seed Round - Secberus,Seed,Seed,"$2,694,000","Mar 21, 2020",Secberus,Secberus is a Cloud Governance Platform used by leading enterprises to manage security & compliance with policy-as-code.,"Cloud Infrastructure, Cloud Security, Compliance, Cyber Security, SaaS",—,"Miami, Florida, United States, North America",www.secberus.com,,"$10,301,000",Seed,5,"Florida Funders, Plug and Play Ventures",4
Seed Round - World Bottling Cap,Seed,Seed,"$315,451","Apr 6, 2020",World Bottling Cap,World Bottling Cap is a global crown cap company providing marketing and sales for patented Easy Pull Bottle Cap and Reduced Gauge Crown.,"Food and Beverage, Industrial Manufacturing, Manufacturing",—,"Plano, Texas, United States, North America",worldbottlingcap.com/,,"$815,451",Seed,2,—,—
Seed Round - Darmiyan,Seed,Seed,"$6,432,250","Apr 10, 2020",Darmiyan,"Darmiyan is developing an AI-powered software platform for early detection, monitoring, and stratification of Alzheimer's disease","Artificial Intelligence, Biotechnology, Enterprise Software, Health Care, Health Diagnostics, Machine Learning, Medical, Software","Women Founded, Women Led","San Francisco, California, United States, North America",www.darmiyan.com/,,"$11,052,250",Seed,5,Eisai,3
Seed Round - soona,Seed,Seed,"$3,600,000","Mar 17, 2020",soona,Soona is a virtual content studio platform that helps brands to make professional-level photos and videos for e-commerce and marketing.,"Content Marketing, E-Commerce, Marketing, Photography, Video","Women Founded, Women Led","Denver, Colorado, United States, North America",soona.co/,,"$56,078,745",—,8,IrishAngels,1
Seed Round - Frontier Farms,Seed,Seed,"$325,000","Apr 3, 2020",Frontier Farms,"A 10,000 sq ft controlled-environment ""clean room"" on 1 acre, 10 minutes from the Las Vegas Strip and 3,000 restaurants.","Agriculture, AgTech, Farming",Women Founded,"Las Vegas, Nevada, United States, North America",farm.vegas/,,"$325,000",Seed,1,—,—
Seed Round - AI.Reverie,Seed,Seed,"$5,600,000","Apr 14, 2020",AI.Reverie,AI.Reverie is a provider of synthetic data to train machine learning algorithms.,"Artificial Intelligence, Machine Learning, PaaS, Software","South Asian Founded, South Asian Led","New York, New York, United States, North America",www.aireverie.com/,,"$5,835,000",M&A,3,Vulcan Capital,7
Seed Round - Selector,Seed,Seed,"$5,000,000","Apr 1, 2020",Selector,Selector is a software company that provides AIOps platform for operational intelligence.,"Analytics, Artificial Intelligence, Data Visualization, Infrastructure, Machine Learning, Software",—,"Santa Clara, California, United States, North America",www.selector.ai,,"$33,000,000",Early Stage Venture,2,Atlantic Bridge,3
Seed Round - G2 Consulting Group,Seed,Seed,"$420,000","Apr 13, 2020",G2 Consulting Group,G2 Consulting Group is a civil engineering company offering telecommunications and land development services.,"Civil Engineering, Consulting, Legal, Telecommunications",—,"Troy, Michigan, United States, North America",g2consultinggroup.com,,"$420,000",Seed,1,—,—
Seed Round - NODE,Seed,Seed,"$2,000,000","Mar 31, 2020",NODE,"A patent-pending system for zero emission homes, that solves the most acute problems in residential construction.","Clean Energy, CleanTech, Green Building, Social Entrepreneurship",—,"Seattle, Washington, United States, North America",node.eco,,"$2,270,000",Seed,4,—,1
Seed Round - Paiksaehyun,Seed,Seed,"$20,000","Apr 1, 2020",Paiksaehyun,Paiksaehyun specializes in the fields of art and media.,"3D Technology, Art, Digital Entertainment, Graphic Design, Interior Design, Media and Entertainment, Performing Arts, Product Design",—,"New York, New York, United States, North America",paiksaehyun.com,,"$20,000",Seed,1,—,—
Pre Seed Round - Disco,Pre-Seed,Seed,"$1,400,000","Apr 6, 2020",Disco,"Disco is a men's skincare brand based in Austin, TX.","Beauty, Brand Marketing, E-Commerce, Pharmaceutical",—,"Austin, Texas, United States, North America",letsdisco.com,,"$4,900,000",Seed,4,—,—
Seed Round - Kaycha Group,Seed,Seed,"$249,760","Apr 17, 2020",Kaycha Group,Kaycha Group represent a group of investors dedicated to help educate and gather additional data in the medical marijuana industry.,"Cannabis, Medical, Real Estate Investment",—,"Davie, Florida, United States, North America",kaychaholdings.com/,,"$649,760",Seed,2,—,—
Seed Round - Cornbread Hemp,Seed,Seed,"$308,000","Apr 1, 2020",Cornbread Hemp,"Cornbread offers full-spectrum, flower-only, and USDA organic CBD products.",Cannabis,—,"Louisville, Kentucky, United States, North America",www.crunchb.com/cornbreadhemp,,"$2,083,000",—,3,—,1
Seed Round - Felix Biotechnology,Seed,Seed,"$150,000","Mar 16, 2020",Felix Biotechnology,Felix Biotechnology is working to accelerate the deployment of novel biotherapeutics to manage infectious diseases.,"Biopharma, Biotechnology, Health Care, Therapeutics",Black / African American Founded,"San Francisco, California, United States, North America",www.felixbt.com/,,"$720,411",Seed,4,—,3
Seed Round - Pepper,Seed,Seed,"$2,000,000","Apr 10, 2020",Pepper,Pepper makes bras in AA to B cups with band sizes starting at 30 and going to 38 for small-chested women.,"E-Commerce, Fashion, Retail, Women's","Women Founded, Women Led","New York, New York, United States, North America",www.wearpepper.com,,"$2,400,000",Seed,2,—,8
Seed Round - SpineOvations,Seed,Seed,"$125,000","Apr 24, 2020",SpineOvations,"SpineOvations, a medical technology company, develops and commercializes products for the diagnosis and treatment of spinal disorders.","Health Care, Life Science, Manufacturing, Medical, Medical Device, mHealth",—,"Carlsbad, California, United States, North America",www.spineovations.com/,,"$125,000",Seed,1,—,—
Seed Round - Battlecard,Seed,Seed,"$1,020,000","Mar 17, 2020",Battlecard,Teams of all sizes use Battlecard to manage their growing playbook and enforce consistent messaging across the entire sales effort.,"Customer Service, Information Technology, Sales",—,"San Francisco, California, United States, North America",battlecard.com,,"$1,445,000",Seed,4,FundersClub,5
Pre Seed Round - Monday Hero,Pre-Seed,Seed,"$73,000","Apr 28, 2020",Monday Hero,"Converts Sketch, Adobe XD and Figma designs into mobile native code.","Mobile Apps, Software","Women Founded, Women Led","San Francisco, California, United States, North America",mondayhero.io/,,"$323,000",Seed,3,—,2
Pre Seed Round - TracksRacks Tech,Pre-Seed,Seed,"$120,000","Mar 31, 2020",TracksRacks Tech,B2B SaaS Fashtech Company,"Fashion, Retail Technology, SaaS",—,"Brooklyn, New York, United States, North America",www.tracksracks.com/,,"$170,000",Seed,2,—,1
Seed Round - Oyster,Seed,Seed,"$4,200,000","Apr 21, 2020",Oyster,"Oyster is a distributed HR platform that offers companies to hire, pay, and care for teammates.","Employment, Human Resources, InsurTech, SaaS, Software",—,"Wilmington, Delaware, United States, North America",www.oysterhr.com,,"$224,200,000",Late Stage Venture,4,Connect Ventures,8
Pre Seed Round - Snapodds,Pre-Seed,Seed,"$120,000","Apr 9, 2020",Snapodds,SnapOdds assist sportsbooks and sport media platforms in increasing the number of bets that users place while watching the game.,"Image Recognition, Information Technology, Internet, Software, Sports",—,"Dover, Delaware, United States, North America",www.snapodds.com/,,"$120,000",Seed,3,Techstars,1
Pre Seed Round - HemoCath,Pre-Seed,Seed,"$1,600,000","Apr 1, 2020",HemoCath,HemoCath-guided healthcare for patients with heart failure has the potential to improve clinical outcomes and reduce hospital length of stay,"Health Care, Health Diagnostics, Medical, Medical Device",—,"Lisle, Illinois, United States, North America",www.hemocath.com/,,"$1,600,000",Seed,1,—,—
Seed Round - Vori,Seed,Seed,"$150,000","Mar 16, 2020",Vori,"Vori is a B2B operating system for the grocery industry, streamlining operations and democratizing food supply access.","Apps, E-Commerce, Grocery, Made to Order, Operating Systems, Software, Supply Chain Management, Wholesale",—,"East Palo Alto, California, United States, North America",www.vori.com/,,"$10,150,000",Early Stage Venture,3,—,1
Seed Round - CrowdForce,Seed,Seed,"$150,000","Mar 17, 2020",CrowdForce,CrowdForce is an offline distribution network for market research and financial services.,"Big Data, Blockchain, Crowdsourcing, Database, Financial Services, FinTech, Mobile","Black / African American Founded, Black / African American Led","San Francisco, California, United States, North America",crowdforce.io/,,"$4,100,000",—,11,Y Combinator,1
Pre Seed Round - ditto,Pre-Seed,Seed,"$150,000","Mar 16, 2020",ditto,Ditto allows teams to collaborate on consistent and effective copy.,"Collaboration, Product Design, Software, UX Design",Women Founded,"San Francisco, California, United States, North America",dittowords.com,,"$1,650,000",Seed,2,Y Combinator,2
Seed Round - Flowbot,Seed,Seed,"$150,000","Mar 16, 2020",Flowbot,Flowbot is a natural language-driven programming assistant that helps users code faster.,"Artificial Intelligence, Developer Tools, Information Technology, Productivity Tools",—,"New York, New York, United States, North America",www.getflowbot.com/,,"$150,000",Seed,1,—,1
Seed Round - Spokn,Seed,Seed,"$750,000","Apr 24, 2020",Spokn,Culture HQ for remote teams,"Apps, E-Learning, Human Resources, SaaS, Software","Middle Eastern / North African Founded, Middle Eastern / North African Led, Women Founded, Women Led","New York, New York, United States, North America",getspokn.com,,"$4,075,000",Seed,3,—,2
Seed Round - Lumint,Seed,Seed,"$2,000,000","Mar 19, 2020",Lumint,Lumint is a financial services company that specializes in providing outsourced currency management.,"Finance, Financial Exchanges, Financial Services",—,"Boston, Massachusetts, United States, North America",www.lumint.com,,"$5,523,578",Seed,3,—,—
