Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - 1910 Genetics,Seed,Seed,"$4,100,000","Mar 31, 2020",1910 Genetics,"1910 Genetics is a biotechnology company integrating AI, computation, and biological automation to improve drug development.","Artificial Intelligence, Biotechnology, Therapeutics","Black / African American Founded, Black / African American Led, Women Founded, Women Led","Boston, Massachusetts, United States, North America",www.1910genetics.com,,"$26,650,000",Early Stage Venture,4,Sam Altman,6
Seed Round - BetterMynd,Seed,Seed,"$300,000","Apr 15, 2020",BetterMynd,BetterMynd is an online therapy platform for college students.,"Health Care, Internet, mHealth, Psychology",—,"Buffalo, New York, United States, North America",www.bettermynd.com/,,"$850,000",Seed,3,Launch NY,1
Seed Round - Steno,Seed,Seed,"$3,000,000","Mar 20, 2020",Steno,Steno offers court reporting and litigation support services which is all available through a deferred-payment system.,"Document Management, Legal, Legal Tech, Payments",—,"Los Angeles, California, United States, North America",steno.com,,"$60,542,455",Early Stage Venture,7,—,3
Seed Round - Strongsuit,Seed,Seed,"$880,000","Mar 17, 2020",Strongsuit,Strongsuit is a tech-enabled chief-of-staff for your life.,"Information Technology, Productivity Tools, Software, Task Management","Women Founded, Women Led","Columbus, Ohio, United States, North America",www.strongsuit.co,,"$2,000,000",Seed,4,—,4
Seed Round - Rogue Games,Seed,Seed,"$2,000,000","May 8, 2020",Rogue Games,"Rogue Games is a subscription games (Apple Arcade, Google Play Pass) and cross-platform digital games publisher (mobile, console, PC).","Developer Platform, Gaming, Publishing, Software, Video Games",—,"Los Angeles, California, United States, North America",rogueco.com/,,"$5,750,000",Early Stage Venture,5,Runa Capital,6
Pre Seed Round - Therma,Pre-Seed,Seed,"$150,000","Apr 21, 2020",Therma,Therma creates monitoring technology to provide temperature monitoring and analytics in order to reduce food and energy waste.,"Hardware, Information Technology, Internet, Software",—,"San Francisco, California, United States, North America",www.hellotherma.com,,"$29,350,000",Early Stage Venture,4,URBAN-X,3
Pre Seed Round - Kindest,Pre-Seed,Seed,"$650,000","Apr 13, 2020",Kindest,"SaaS, Crowdfunding, Events, FinTech, Non Profit","Crowdfunding, Email Marketing, FinTech, Internet, Non Profit, SaaS, Software",Women Founded,"Santa Monica, California, United States, North America",www.kindest.com,,"$2,355,288",Seed,4,—,2
Pre Seed Round - Dimension,Pre-Seed,Seed,"$1,000,000","Apr 2, 2020",Dimension,Dimension brings the waste management industry into the modern world.,"Information Technology, Internet, Mobile Apps, Software, Waste Management","Women Founded, Women Led","San Francisco, California, United States, North America",getdimension.com/,,"$12,500,000",Seed,4,AltaIR Capital,7
Seed Round - Boston Geospatial,Seed,Seed,"$1,250,000","Mar 18, 2020",Boston Geospatial,Boston Geospatial brings ready-to-use geospatial insights to operators and risk managers in the critical infrastructure sectors.,"Database, Geospatial, Software",—,"Boston, Massachusetts, United States, North America",www.bostongeospatial.com/,,"$1,603,550",Seed,4,—,3
Pre Seed Round - müv,Pre-Seed,Seed,"$2,000,000","Apr 14, 2020",müv,AI-powered Travel Planner and Booking Engine,"Artificial Intelligence, Travel",—,"Cambridge, Massachusetts, United States, North America",www.muvtravel.com,,"$2,000,000",Seed,1,—,—
